class,guid,centreOfMassX,centreOfMassY,centreOfMassZ,maxFaceMass,faceMassAverage,faceMassVariance,edgeCount,segment_no
AT,6216f418-0002-ad22-3136-343536373830,1011172.898,16900,2714.058638,2334942.437,223197.4391,4.46E+11,60,lm-61
AT,6216f418-0002-ad26-3136-343536373830,1011172.898,-16900,2714.058638,2334942.437,223197.4391,4.46E+11,60,lm-61
CN,6216f418-0002-ad2a-3136-343536373830,1005600,16999.35961,2306.056344,57604.53047,4920.283316,232451687,72,lm-61
CN,6216f418-0002-ad2e-3136-343536373830,1005600,17499.33461,2301.056582,57604.53047,4920.283317,232451687,72,lm-61
CN,6216f418-0002-ad32-3136-343536373830,1005600,17999.30961,2296.056821,57604.53047,4920.283316,232451687,72,lm-61
CN,6216f418-0002-ad36-3136-343536373830,1005600,18499.28462,2291.057059,57604.53047,4920.283316,232451687,72,lm-61
CN,6216f418-0002-ad3a-3136-343536373830,1005600,16368.32288,2247.656084,97284.52864,8584.833373,660743504.2,72,lm-61
CN,6216f418-0002-ad3e-3136-343536373830,1005600,-16368.32286,2247.656183,97284.52864,8584.833373,660743504.2,72,lm-61
CN,6216f418-0002-ad42-3136-343536373830,1005600,16167.61032,1654.496618,57604.55853,4920.285475,232451914.5,72,lm-61
CN,6216f418-0002-ad46-3136-343536373830,1005600,-16167.61031,1654.496715,57604.55853,4920.285475,232451914.5,72,lm-61
CN,6216f418-0002-ad4a-3136-343536373830,1005600,-16999.40961,2306.056094,57604.53047,4920.283317,232451687,72,lm-61
CN,6216f418-0002-ad4e-3136-343536373830,1005600,-17499.38461,2301.056332,57604.53047,4920.283316,232451687,72,lm-61
CN,6216f418-0002-ad52-3136-343536373830,1005600,-17999.35961,2296.056571,57604.53047,4920.283316,232451687,72,lm-61
CN,6216f418-0002-ad56-3136-343536373830,1005600,-18499.33461,2291.056809,57604.53047,4920.283317,232451687,72,lm-61
OB,6216f418-0002-ad5e-3136-343536373830,1007725.38,16480,2243.989932,5324291.893,679275.1612,3.08E+12,42,lm-61
OB,6216f418-0002-ad66-3136-343536373830,1012000.002,-14953.24278,1235.23653,40369320.73,2795082.172,1.05E+14,77,lm-61
OB,6216f418-0002-ad72-3136-343536373830,1007725.38,-16480,2243.989932,5324291.893,679275.1612,3.08E+12,42,lm-61
OB,6216f418-0002-ad7a-3136-343536373830,1012000,9225.273906,-3.274485313,38768751.49,6962408.691,2.03E+14,30,lm-61
TB,6216f418-0002-ad7e-3136-343536373830,1012000,-10890.4454,2991.195052,45824000,13173377.4,4.24E+14,15,lm-61
TB,6216f418-0002-ad86-3136-343536373830,1012000,-971.0058182,3190.581884,24857600,8364490.667,1.36E+14,12,lm-61
IB,6216f418-0002-ad8a-3136-343536373830,1011200,-9938.351124,1398.462528,19366270.33,46274.43789,8.83E+11,2535,lm-61
TB,6216f418-0002-ad9a-3136-343536373830,1012018.364,17924.65547,2363.309247,35094680.43,860002.4531,2.93E+13,240,lm-61
TB,6216f418-0002-adb2-3136-343536373830,1012000,-3731.453784,3135.372925,45824000,15362026.67,4.64E+14,12,lm-61
TB,6216f418-0002-adb6-3136-343536373830,1012000,-7310.737999,3063.787241,45824000,15362026.67,4.64E+14,12,lm-61
TB,6216f418-0002-adba-3136-343536373830,1012000,-14604.75935,2916.906886,49292800,16530839.33,5.37E+14,12,lm-61
OB,6216f418-0002-adbe-3136-343536373830,1012000,-3050,-5.000000181,39680000,13279666.67,3.48E+14,12,lm-61
OB,6216f418-0002-adc2-3136-343536373830,1012000,-6100,-5.000000268,38400000,12852666.67,3.26E+14,12,lm-61
OB,6216f418-0002-adc6-3136-343536373830,1012000,3050,-5.00000918,39680000,13279666.67,3.48E+14,12,lm-61
OB,6216f418-0002-adca-3136-343536373830,1012000,6100,-5.000027863,38400000,12852666.67,3.26E+14,12,lm-61
OB,6216f418-0002-adce-3136-343536373830,1012000,-12140.74255,424.5135012,34560000,11571666.67,2.64E+14,12,lm-61
OB,6216f418-0002-add2-3136-343536373830,1012000.002,14953.24279,1235.236435,40369320.73,2795082.172,1.05E+14,77,lm-61
OB,6216f418-0002-adde-3136-343536373830,1012000,12140.74255,424.5134247,34560000,11571666.67,2.64E+14,12,lm-61
IB,6216f418-0002-ade2-3136-343536373830,1017600,-0.000102677,1361.156381,24327684.77,61980.44538,1.49E+12,2367,lm-61
IB,6216f418-0002-adf6-3136-343536373830,1011200,0.004912638,1361.155519,24327650.72,62074.20563,1.49E+12,2367,lm-61
IB,6216f418-0002-ae0a-3136-343536373830,1011200,9938.357568,1398.46201,19366244.85,46274.37719,8.83E+11,2535,lm-61
AT,6216f418-0002-ae1a-3136-343536373830,1012018.115,-17924.65547,2363.309247,35094680.43,860002.4531,2.93E+13,240,lm-61
TB,6216f418-0002-ae32-3136-343536373830,1012000,10890.4454,2991.195052,45824000,13173377.4,4.24E+14,15,lm-61
TB,6216f418-0002-ae3a-3136-343536373830,1012000,971.0058188,3190.581931,24857600,8364490.667,1.36E+14,12,lm-61
TB,6216f418-0002-ae3e-3136-343536373830,1012000,3731.453785,3135.373015,45824000,15362026.67,4.64E+14,12,lm-61
TB,6216f418-0002-ae42-3136-343536373830,1012000,7310.738,3063.78733,45824000,15362026.67,4.64E+14,12,lm-61
TB,6216f418-0002-ae46-3136-343536373830,1012000,14604.75935,2916.906886,49292800,16530839.33,5.37E+14,12,lm-61
IB,6216f418-0002-ae4a-3136-343536373830,1014400,-0.000102677,1361.156381,24327684.77,61980.44538,1.49E+12,2367,lm-61
IB,6216f418-0002-ae5e-3136-343536373830,1008000,-0.000114117,1361.156381,24327684.77,61980.44538,1.49E+12,2367,lm-61
OB,6216f418-0002-ae72-3136-343536373830,1012000,-9225.273906,-3.274485313,38768751.49,6962408.691,2.03E+14,30,lm-61
IB,6216f418-0002-ae76-3136-343536373830,1008000,-10232.13035,1436.613703,20342370.98,38492.72273,7.73E+11,3198,lm-61
IB,6216f418-0002-ae9a-3136-343536373830,1014400,-10232.13088,1436.613827,20342372.93,38492.72637,7.73E+11,3198,lm-61
IB,6216f418-0002-aebe-3136-343536373830,1017600,-10232.13088,1436.613827,20342372.93,38492.72637,7.73E+11,3198,lm-61
IB,6216f418-0002-aee2-3136-343536373830,1008000,10232.12866,1436.613401,20342365.49,38492.7118,7.73E+11,3198,lm-61
IB,6216f418-0002-af06-3136-343536373830,1014400,10232.12814,1436.613277,20342363.54,38492.70817,7.73E+11,3198,lm-61
IB,6216f418-0002-af2a-3136-343536373830,1017600,10232.12814,1436.613277,20342363.54,38492.70817,7.73E+11,3198,lm-61
CN,6216f418-0002-af4e-3136-343536373830,1005600,-16804,2454.556078,74400,26522.66667,1147396494,12,lm-61
CN,6216f418-0002-af52-3136-343536373830,1005600,16803.99641,2454.556078,74400,26522.66667,1147396494,12,lm-61
AT,6216f418-0002-af56-3136-343536373830,1011200,16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-af59-3136-343536373830,1011440,16934,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af5c-3136-343536373830,1010510,16934,3179.180004,52752.42309,3774.674094,149926243.6,96,lm-61
AT,6216f418-0002-af5f-3136-343536373830,1010960,16934,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af62-3136-343536373830,1011440,16866,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af65-3136-343536373830,1010510,16866,3179.180004,52752.42309,3774.674094,149926243.5,96,lm-61
AT,6216f418-0002-af68-3136-343536373830,1010960,16866,3179.180004,80017.08033,4951.239922,313048910.9,108,lm-61
AT,6216f418-0002-af6b-3136-343536373830,1010306,16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-af6e-3136-343536373830,1012094,16685.35981,2465.667428,303931.7062,117145.2774,17491721371,12,lm-61
AT,6216f418-0002-af71-3136-343536373830,1012224.878,16610.87835,2206.180003,52591.8389,7999.20286,276678606.9,45,lm-61
AT,6216f418-0002-af74-3136-343536373830,1012224.878,16610.87835,2706.180003,52591.8389,7999.20286,276678606.9,45,lm-61
