class,guid,centreOfMassX,centreOfMassY,centreOfMassZ,maxFaceMass,segment_no,edgeCount
AT,5b556bc7-0001-89ae-3135-333233323732,433128,-20209.36647,2172.516021,689014.2657,scw-C3-JD-24,144
AT,5b556bc7-0001-89c2-3135-333233323732,433654,-20209.36647,2172.516021,689014.2657,scw-C3-JD-24,12
AT,5b566d06-0000-0677-3135-333233393431,432485.2775,-20839.39816,1953.125744,253948.3084,scw-C3-JD-24,45
AT,5b566d06-0000-067b-3135-333233393431,432919.3188,-21015.83157,2034.478524,74441.8389,scw-C3-JD-24,45
AT,5b566d06-0000-067e-3135-333233393431,432919.3206,-20667.80221,1997.170293,74441.8389,scw-C3-JD-24,45
AT,5b566d06-0000-0681-3135-333233393431,432919.3198,-20841.81685,2015.824536,74441.83893,scw-C3-JD-24,115
AT,5b566d06-0000-0684-3135-333233393431,432720.1937,-20652.48222,2134.311093,175759.7959,scw-C3-JD-24,130
AT,5b566d06-0000-0687-3135-333233393431,433100.4282,-20805.01573,2275.104173,574240.9603,scw-C3-JD-24,354
AT,5b566d06-0000-068a-3135-333233393431,432715.8449,-20789.16168,2404.149008,400317.6657,scw-C3-JD-24,115
AT,5b566d06-0000-068d-3135-333233393431,432447.2356,-20852.91318,1920.026177,201894.7766,scw-C3-JD-24,45
AT,5b566d06-0000-0693-3135-333233393431,432720.1918,-21000.51159,2171.619314,175759.7961,scw-C3-JD-24,45
AT,5b566d06-0000-0696-3135-333233393431,432519.4871,-20982.21891,2338.560797,54841.8389,scw-C3-JD-24,45
AT,5b566d06-0000-0699-3135-333233393431,432519.4889,-20634.18955,2301.252566,54841.8389,scw-C3-JD-24,12
AT,5b566d06-0000-069c-3135-333233393431,432519.4881,-20808.20419,2319.90681,54841.8389,scw-C3-JD-24,12
AT,5b57c4be-0000-142b-3135-333234383035,432826.5943,-20833.68634,2054.667398,3509.999996,scw-C3-JD-24,579
AT,5b57c4be-0000-145a-3135-333234383035,433047.4313,-20812.0444,2256.565093,3509.999996,scw-C3-JD-24,579
AT,5b57c4be-0000-145e-3135-333234383035,433268.2682,-20790.40246,2458.462787,3509.999996,scw-C3-JD-24,777
AT,5b590ef5-0003-c458-3135-333235373039,432124.0236,-20045.56991,2280.976005,922334.3658,scw-C3-JD-24,524
AT,5b590ef5-0003-c464-3135-333235373039,432813.929,-20124.28482,1534.701696,801056.0812,scw-C3-JD-24,12
OT,5b8c7ab1-0000-20f1-3135-333539333737,435500,-3500,-12.5,1000000,scw-C3-JD-24,12
OB,5b8c7ab1-0000-20f5-3135-333539333737,435500,-5099.999803,-5.999519902,35999999.53,scw-C3-JD-24,12
OB,5b8c7ab1-0000-20f9-3135-333539333737,435500,-16465.21701,330.2495868,48020008.4,scw-C3-JD-24,12
OB,5b8c7ab1-0000-2103-3135-333539333737,435500,-7899.999732,-5.999519902,47999999.53,scw-C3-JD-24,12
OB,5b8c7ab1-0000-2107-3135-333539333737,435500,-10749.99979,-5.999519902,37499999.53,scw-C3-JD-24,12
OB,5b8c7ab1-0000-210b-3135-333539333737,435500,-13450.30376,-5.999939152,43518239.37,scw-C3-JD-24,12
OB,5b8c7ab1-0000-2111-3135-333539333737,435500,-19379.73583,956.6199739,41422007.85,scw-C3-JD-24,12
OB,5b8c7ab1-0000-2115-3135-333539333737,435500,9465.216918,330.2495542,48020007.36,scw-C3-JD-24,12
OB,5b8c7ab1-0000-211d-3135-333539333737,435500,6450.30379,-5.999939151,43518240.41,scw-C3-JD-24,12
OB,5b8c7ab1-0000-2123-3135-333539333737,435500,12379.73588,956.6199731,41422009.32,scw-C3-JD-24,12
OB,5b8c7ab1-0000-2127-3135-333539333737,435500,3749.999794,-5.999519919,37499999.53,scw-C3-JD-24,12
OB,5b8c7ab1-0000-212b-3135-333539333737,435500,899.9997317,-5.999519942,47999999.53,scw-C3-JD-24,12
OB,5b8c7ab1-0000-212f-3135-333539333737,435500,-2300.000268,-5.999520072,47999999.53,scw-C3-JD-24,12
TB,5b8c7ab1-0000-2133-3135-333539333737,435500,-5199.668876,3169.51046,51000001.17,scw-C3-JD-24,15
TB,5b8c7ab1-0000-2137-3135-333539333737,435500,-19062.27589,2820.953223,43200038.4,scw-C3-JD-24,12
TB,5b8c7ab1-0000-213f-3135-333539333737,435500,-8098.76305,3097.033102,36000001.17,scw-C3-JD-24,12
TB,5b8c7ab1-0000-2143-3135-333539333737,435500,-11097.82249,3022.056621,53999896.17,scw-C3-JD-24,12
TB,5b8c7ab1-0000-2147-3135-333539333737,435500,-14096.88203,2947.080116,36000001.17,scw-C3-JD-24,12
TB,5b8c7ab1-0000-214b-3135-333539333737,435500,-16458.85243,2888.030851,34881250.17,scw-C3-JD-24,12
TB,5b8c7ab1-0000-214f-3135-333539333737,435500,-1800.331124,3169.51046,51000001.17,scw-C3-JD-24,12
TB,5b8c7ab1-0000-2153-3135-333539333737,435500,1098.76305,3097.033102,36000001.17,scw-C3-JD-24,12
TB,5b8c7ab1-0000-2157-3135-333539333737,435500,4097.82249,3022.056621,53999896.17,scw-C3-JD-24,12
TB,5b8c7ab1-0000-215b-3135-333539333737,435500,7096.88203,2947.080116,36000001.17,scw-C3-JD-24,12
