class,guid,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,edgeCount,edgeLenSum,segment_no
AT,5b57e2ed-0001-ff63-3135-333234393939,624512.7569,13839.72943,1951.283738,654692.3904,261182.9744,144,8536.341286,scw-C3-JD-27
AT,5b57e2ed-0001-ff67-3135-333234393939,624193.3149,13828.62342,2101.894526,18364.00001,6890.000013,12,1178,scw-C3-JD-27
AT,5b57e2ed-0001-ff6a-3135-333234393939,624091.0942,14009.53429,2090.380586,186456.6475,74441.83889,45,3491.08081,scw-C3-JD-27
AT,5b57e2ed-0001-ff6d-3135-333234393939,624091.0926,13661.50831,2053.073003,186456.6476,74441.83894,45,3491.08081,scw-C3-JD-27
AT,5b57e2ed-0001-ff70-3135-333234393939,624091.0933,13835.5213,2071.726895,186456.6475,74441.83894,45,3491.08081,scw-C3-JD-27
AT,5b57e2ed-0001-ff73-3135-333234393939,624307.0499,13649.24007,2162.186598,404893.6877,175759.7961,115,5359.841293,scw-C3-JD-27
AT,5b57e2ed-0001-ff7c-3135-333234393939,624545.8583,13853.22537,1913.254998,598543.7253,209129.4449,130,9810.45043,scw-C3-JD-27
AT,5b57e2ed-0001-ff7f-3135-333234393939,623945.2848,13781.76419,2624.651333,2472272.08,50553.51751,354,89847.77408,scw-C3-JD-27
AT,5b57e2ed-0001-ff82-3135-333234393939,624307.0515,13997.26605,2199.494181,404893.6878,175759.7962,115,5359.841293,scw-C3-JD-27
AT,5b57e2ed-0001-ff85-3135-333234393939,624528.6214,13982.06042,2337.92121,138856.6475,54841.8389,45,2791.08081,scw-C3-JD-27
AT,5b57e2ed-0001-ff88-3135-333234393939,624528.6198,13634.03443,2300.613627,138856.6475,54841.8389,45,2791.08081,scw-C3-JD-27
AT,5b57e2ed-0001-ff8b-3135-333234393939,624528.6205,13808.04743,2319.267519,138856.6475,54841.8389,45,2791.08081,scw-C3-JD-27
AT,5b57e2ed-0001-ffb1-3135-333234393939,624001.9622,13803.99732,2331.628553,18363.99998,6889.999994,12,1178,scw-C3-JD-27
AT,5b57e2ed-0001-fff1-3135-333235303031,623810.6096,13779.37122,2561.362579,18364.00001,6890.000014,12,1178,scw-C3-JD-27
AT,5b57e2ed-0001-fff5-3135-333235303033,624000,13209.3665,2172.516008,1450648.235,689014.3818,579,14419.26453,scw-C3-JD-27
AT,5b57e2ed-0002-0009-3135-333235303033,623593,13209.3665,2172.516008,1450648.235,689014.3818,579,14419.26453,scw-C3-JD-27
AT,5b57e2ed-0002-0157-3135-333235303036,624988.9921,13042.81723,2278.185409,2258523.805,1067174.406,777,20891.91599,scw-C3-JD-27
AT,5b57e2ed-0002-0163-3135-333235303036,624088.9269,13121.69102,1536.943107,1963904.573,928368.0677,524,16248.19532,scw-C3-JD-27
OT,5b8c7ab1-0002-b8f8-3135-333539343037,621500,-3500,-12.5,2004000,1000000,12,8004,scw-C3-JD-27
OB,5b8c7ab1-0002-b8fc-3135-333539343037,621500,-1900.000196,-5.999519949,72417599.27,35999999.53,12,69647.9999,scw-C3-JD-27
OB,5b8c7ab1-0002-b900-3135-333539343037,621500,9465.217015,330.2495868,96457933.79,48020008.4,12,72850.8157,scw-C3-JD-27
OB,5b8c7ab1-0002-b90a-3135-333539343037,621500,899.999733,-5.999519949,96436799.28,47999999.53,12,72847.9999,scw-C3-JD-27
OB,5b8c7ab1-0002-b90e-3135-333539343037,621500,3749.999795,-5.999519949,75419999.27,37499999.53,12,70047.9999,scw-C3-JD-27
OB,5b8c7ab1-0002-b912-3135-333539343037,621500,6450.303756,-5.999939199,87448774.31,43518239.37,12,71650.55462,scw-C3-JD-27
OB,5b8c7ab1-0002-b918-3135-333539343037,621500,12379.73584,956.619974,83270291.14,41422007.85,12,71093.86879,scw-C3-JD-27
OB,5b8c7ab1-0002-b91c-3135-333539343037,621500,-16465.21692,330.2495539,96457931.57,48020007.36,12,72850.81541,scw-C3-JD-27
OB,5b8c7ab1-0002-b924-3135-333539343037,621500,-13450.30379,-5.999943454,87448776.4,43518240.41,12,71650.5549,scw-C3-JD-27
OB,5b8c7ab1-0002-b92a-3135-333539343037,621500,-19379.73589,956.6199733,83270294.07,41422009.32,12,71093.86918,scw-C3-JD-27
OB,5b8c7ab1-0002-b92e-3135-333539343037,621500,-10749.99979,-5.999523622,75419999.27,37499999.53,12,70047.9999,scw-C3-JD-27
OB,5b8c7ab1-0002-b932-3135-333539343037,621500,-7899.999733,-5.999524695,96436799.28,47999999.53,12,72847.9999,scw-C3-JD-27
OB,5b8c7ab1-0002-b936-3135-333539343037,621500,-4699.999733,-5.999524824,96436799.28,47999999.53,12,72847.9999,scw-C3-JD-27
TB,5b8c7ab1-0002-b93a-3135-333539343037,621500,-1800.331124,3169.510444,102588802.3,51000001.17,12,73664.00031,scw-C3-JD-27
