class,guid,solidMass,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,maxFaceCentreOfMassX,maxFaceCentreOfMassY,maxFaceCentreOfMassZ,maxFaceAxisLocationX,maxFaceAxisLocationY,maxFaceAxisLocationZ,maxFaceAxisDirectX,maxFaceAxisDirectY,maxFaceAxisDirectZ,maxFacePerimeter,maxFaceMaxEdgeCentreX,maxFaceMaxEdgeCentreY,maxFaceMaxEdgeCentreZ,maxFaceMinEdgeCentreX,maxFaceMinEdgeCentreY,maxFaceMinEdgeCentreZ,maxFaceEdgeLengthAverage,maxFaceEdgeLengthVariance,minFaceMass,minFaceCentreOfMassX,minFaceCentreOfMassY,minFaceCentreOfMassZ,minFaceAxisLocationX,minFaceAxisLocationY,minFaceAxisLocationZ,minFaceAxisDirectX,minFaceAxisDirectY,minFaceAxisDirectZ,minFacePerimeter,minFaceMaxEdgeCentreX,minFaceMaxEdgeCentreY,minFaceMaxEdgeCentreZ,minFaceMinEdgeCentreX,minFaceMinEdgeCentreY,minFaceMinEdgeCentreZ,minFaceEdgeLengthAverage,minFaceEdgeLengthVariance,faceMassAverage,faceMassVariance,edgeCount,edgeLenSum,segment_no
AT,6216f418-0002-ad22-3136-343536373830,93397697.47,1011172.898,16900,2714.058638,4910343.661,2334942.437,1011172.898,16920,2714.058638,1010929.496,16920,3179.932471,0,1,3.24E-18,6011.469678,1011200,16920,2091.180003,1010351.822,16920,3349.182355,300.5734839,268899.136,1255.345514,1010351.822,16900,3349.182355,1010351.822,16900,3349.182355,-0.522498565,0,0.852640164,142.7672757,1010351.822,16920,3349.182355,1010351.822,16920,3349.182355,35.69181893,18.56042415,223197.4391,4.46E+11,60,12822.93936,lm-61
AT,6216f418-0002-ad26-3136-343536373830,93397697.47,1011172.898,-16900,2714.058638,4910343.661,2334942.437,1011172.898,-16880,2714.058638,1010929.496,-16880,3179.932471,0,1,3.24E-18,6011.469678,1011200,-16880,2091.180003,1010351.822,-16880,3349.182355,300.5734839,268899.136,1255.345514,1010351.822,-16900,3349.182355,1010351.822,-16900,3349.182355,-0.522498565,0,0.852640164,142.7672757,1010351.822,-16880,3349.182355,1010351.822,-16880,3349.182355,35.69181893,18.56042415,223197.4391,4.46E+11,60,12822.93936,lm-61
CN,6216f418-0002-ad2a-3136-343536373830,576045.3045,1005600,16999.35961,2306.056344,127927.3662,57604.53047,1005600,16994.35986,2306.106341,1005600,16994.69887,2340.007489,3.73E-15,-0.999950004,0.009999523,1271.83053,1005600,16993.77491,2247.611574,1005621.424,16994.69961,2340.081369,52.99293873,12449.6185,57.80553811,1005578.576,16999.69936,2340.031372,1005578.576,16999.69936,2340.031372,0.614212713,0.007891029,0.789101055,31.56110763,1005578.576,17004.69911,2339.981374,1005578.576,17004.69911,2339.981374,7.890276907,4.450931529,4920.283316,232451687,72,2783.661059,lm-61
CN,6216f418-0002-ad2e-3136-343536373830,576045.3047,1005600,17499.33461,2301.056582,127927.3662,57604.53047,1005600,17494.33486,2301.10658,1005600,17494.67387,2335.007727,3.73E-15,-0.999950004,0.009999523,1271.83053,1005600,17493.74991,2242.611813,1005621.424,17494.67461,2335.081608,52.99293873,12449.6185,57.80553812,1005578.576,17499.67436,2335.03161,1005578.576,17499.67436,2335.03161,0.614212713,0.007891029,0.789101055,31.56110763,1005578.576,17504.67411,2334.981613,1005578.576,17504.67411,2334.981613,7.890276907,4.450931527,4920.283317,232451687,72,2783.661059,lm-61
CN,6216f418-0002-ad32-3136-343536373830,576045.3049,1005600,17999.30961,2296.056821,127927.3662,57604.53047,1005600,17994.30986,2296.106818,1005600,17994.64888,2330.007966,3.73E-15,-0.999950004,0.009999523,1271.83053,1005600,17993.72492,2237.612051,1005621.424,17994.64962,2330.081846,52.99293873,12449.6185,57.80553808,1005621.424,17999.64937,2330.031849,1005621.424,17999.64937,2330.031849,-0.614212713,0.007891029,0.789101055,31.56110762,1005621.424,17994.64962,2330.081846,1005621.424,17994.64962,2330.081846,7.890276905,4.450931535,4920.283316,232451687,72,2783.661059,lm-61
CN,6216f418-0002-ad36-3136-343536373830,576045.3045,1005600,18499.28462,2291.057059,127927.3662,57604.53047,1005600,18494.28487,2291.107057,1005600,18494.62388,2325.008204,3.73E-15,-0.999950004,0.009999523,1271.83053,1005600,18493.69992,2232.61229,1005621.424,18494.62462,2325.082085,52.99293873,12449.6185,57.80553808,1005621.424,18499.62437,2325.032087,1005621.424,18499.62437,2325.032087,-0.614212713,0.007891029,0.789101055,31.56110762,1005621.424,18494.62462,2325.082085,1005621.424,18494.62462,2325.082085,7.890276905,4.450931535,4920.283316,232451687,72,2783.661059,lm-61
CN,6216f418-0002-ad3a-3136-343536373830,1945690.573,1005600,16368.32288,2247.656084,223205.6677,97284.52864,1005600,16368.32288,2237.656084,1005600,16435.73387,2237.656084,-2.76E-18,-8.59E-17,-1,1431.830522,1005600,16270,2237.656084,1005574.338,16446.37611,2237.656084,59.6596051,13831.93483,115.6110705,1005625.662,16446.37611,2247.656084,1005625.662,16446.37611,2247.656084,-0.7357239,0.677281583,0,51.56110705,1005625.662,16446.37611,2257.656084,1005625.662,16446.37611,2257.656084,12.89027676,50.54816452,8584.833373,660743504.2,72,3343.661045,lm-61
CN,6216f418-0002-ad3e-3136-343536373830,1945690.573,1005600,-16368.32286,2247.656183,223205.6677,97284.52864,1005600,-16368.32286,2257.656183,1005600,-16435.73385,2257.656183,-2.76E-18,8.59E-17,1,1431.830522,1005600,-16269.99999,2257.656183,1005574.338,-16446.3761,2257.656183,59.6596051,13831.93483,115.6110705,1005625.662,-16446.3761,2247.656183,1005625.662,-16446.3761,2247.656183,-0.7357239,-0.677281583,0,51.56110705,1005625.662,-16446.3761,2237.656183,1005625.662,-16446.3761,2237.656183,12.89027676,50.54816452,8584.833373,660743504.2,72,3343.661045,lm-61
CN,6216f418-0002-ad42-3136-343536373830,576045.5852,1005600,16167.61032,1654.496618,127927.4223,57604.55853,1005600,16172.4147,1655.881515,1005600,16181.8051,1623.305037,-3.79E-15,0.960875899,0.276979253,1271.83053,1005600,16156.21205,1712.090563,1005621.424,16181.82557,1623.234027,52.99293873,12449.6185,57.8055381,1005621.424,16177.02119,1621.849131,1005621.424,16177.02119,1621.849131,-0.614212713,0.218575549,-0.758266096,31.56110762,1005621.424,16181.82557,1623.234027,1005621.424,16181.82557,1623.234027,7.890276905,4.450931536,4920.285475,232451914.5,72,2783.661059,lm-61
CN,6216f418-0002-ad46-3136-343536373830,576045.5851,1005600,-16167.61031,1654.496715,127927.4223,57604.55853,1005600,-16162.80593,1653.111819,1005600,-16172.19633,1620.535341,-3.79E-15,0.960875897,-0.276979259,1271.83053,1005600,-16146.60328,1709.320867,1005621.424,-16172.2168,1620.464332,52.99293873,12449.6185,57.8055381,1005578.576,-16177.02118,1621.849228,1005578.576,-16177.02118,1621.849228,0.614212713,-0.218575554,-0.758266095,31.56110762,1005578.576,-16172.2168,1620.464332,1005578.576,-16172.2168,1620.464332,7.890276906,4.45093154,4920.285475,232451914.5,72,2783.661059,lm-61
