0,0,AT,CN,IB,IR,OB,OT,RF,TB,UR,,class,guid,segment_no,equal
0,AT,0.66,0,0.06,0.03,0,0.17,0.08,0,0,,CN,5ebb469d-0002-2c86-3135-383933373133,xmed-Z4-SS9-1,0
6,RF,0.01,0,0,0,0,0.02,0.97,0,0,,CN,5ebb469d-0002-2c8b-3135-383933373133,xmed-Z4-SS9-1,0
6,RF,0,0,0,0,0,0.03,0.97,0,0,,CN,5ebb469d-0002-2c90-3135-383933373133,xmed-Z4-SS9-1,0
2,IB,0.11,0.06,0.65,0,0,0.04,0.11,0,0.03,,IB,5ebb469d-0004-9d83-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.07,0,0.86,0,0.01,0,0.06,0,0,,IB,5ebb469d-0004-9db0-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.07,0.06,0.72,0,0.01,0.03,0.09,0,0.02,,IB,5ebb469d-0004-9ddd-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.03,0,0.95,0.01,0,0,0.01,0,0,,IB,5ebb469d-0004-9e06-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.01,0.06,0.86,0,0.01,0.03,0.01,0,0.02,,IB,5ebb469d-0004-9e3f-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.01,0.06,0.86,0,0.01,0.03,0.01,0,0.02,,IB,5ebb469d-0004-9e6c-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.12,0.06,0.62,0,0,0.05,0.11,0,0.04,,IB,5ebb469d-0004-aa8d-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.07,0,0.87,0,0,0,0.06,0,0,,IB,5ebb469d-0004-aaba-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.08,0.06,0.71,0,0.01,0.03,0.09,0,0.02,,IB,5ebb469d-0004-aae7-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.12,0.06,0.64,0,0,0.04,0.11,0,0.03,,IB,5ebb469d-0004-ab10-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.08,0.06,0.71,0,0.01,0.03,0.09,0,0.02,,IB,5ebb469d-0004-ab6a-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.05,0,0.88,0,0.01,0,0.06,0,0,,IB,5ebb469d-0004-b583-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.07,0.06,0.73,0,0.02,0.03,0.07,0,0.02,,IB,5ebb469d-0004-b5b0-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.03,0.02,0.62,0.07,0.09,0.06,0,0.04,0.07,,IB,5ebb469d-0004-b5d9-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.01,0.06,0.86,0,0.02,0.03,0,0,0.02,,IB,5ebb469d-0004-b612-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.05,0,0.89,0,0,0,0.06,0,0,,IB,5ebb469d-0004-bd67-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.07,0.06,0.73,0,0.02,0.03,0.07,0,0.02,,IB,5ebb469d-0004-bd94-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.08,0.01,0.85,0,0,0,0.06,0,0,,IB,5ebb469d-0004-bdbd-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.07,0.06,0.73,0,0.02,0.03,0.07,0,0.02,,IB,5ebb469d-0004-bdea-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.11,0.01,0.05,0.75,0,0.01,,RF,5ebb469d-0004-c9b1-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.06,0.03,0,0.09,0,0.04,0.77,0,0.01,,IB,5ebb469d-0004-c9b5-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.06,0.03,0,0.08,0,0.06,0.75,0,0.02,,RF,5ebb469d-0004-c9b9-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.06,0.01,0,0.1,0.01,0.06,0.74,0,0.02,,RF,5ebb469d-0004-c9bd-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0.01,0.1,0.01,0.07,0.73,0,0.02,,RF,5ebb469d-0004-c9c1-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0.02,0,0.1,0.01,0.04,0.75,0,0.01,,RF,5ebb469d-0004-c9c5-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.09,0.01,0.06,0.75,0,0.02,,RF,5ebb469d-0004-c9c9-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.12,0.01,0.05,0.75,0,0.01,,RF,5ebb469d-0004-c9cd-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.2,0,0.62,0.12,0,0,0.02,0,0.04,,IB,5ebb469d-0004-c9d1-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.15,0,0.65,0.08,0.05,0,0.05,0,0.02,,IB,5ebb469d-0004-ca0d-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.17,0,0.61,0.13,0.02,0,0.03,0,0.04,,IB,5ebb469d-0004-ca41-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.15,0,0.05,0.22,0.02,0.04,0.49,0.01,0.02,,RF,5ebb469d-0004-ca75-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.04,0,0.07,0.24,0.1,0.05,0.39,0,0.11,,RF,5ebb469d-0004-ca79-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.04,0.01,0.07,0.35,0.06,0.04,0.38,0,0.05,,RF,5ebb469d-0004-ca81-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0,0,0,0,0,0,1,0,0,,RF,5ebb469d-0004-ca85-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0,0,0,0,0,0,1,0,0,,RF,5ebb469d-0004-ca89-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.15,0.01,0.12,0.32,0,0.04,0.35,0,0.01,,RF,5ebb469d-0004-ca8d-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.11,0.01,0.13,0.32,0,0.05,0.37,0,0.01,,RF,5ebb469d-0004-ca91-3135-383933373437,xmed-Z4-SS9-1,1
3,IR,0.08,0.02,0.14,0.49,0,0.05,0.19,0.01,0.02,,RF,5ebb469d-0004-ca95-3135-383933373437,xmed-Z4-SS9-1,0
3,IR,0.07,0.02,0.14,0.51,0,0.04,0.19,0.01,0.02,,RF,5ebb469d-0004-ca99-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.16,0,0.55,0.13,0,0.1,0.04,0,0.02,,RF,5ebb469d-0004-ca9d-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.16,0,0.53,0.14,0,0.11,0.04,0,0.02,,RF,5ebb469d-0004-caa1-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-caa5-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-caa9-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.16,0,0.55,0.13,0,0.1,0.04,0,0.02,,RF,5ebb469d-0004-caad-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.16,0,0.53,0.14,0,0.11,0.04,0,0.02,,RF,5ebb469d-0004-cab1-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-cab5-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-cab9-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-cabd-3135-383933373437,xmed-Z4-SS9-1,1
