index,class,guid,solidMass,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,maxFaceCentreOfMassX,maxFaceCentreOfMassY,maxFaceCentreOfMassZ,maxFaceAxisLocationX,maxFaceAxisLocationY,maxFaceAxisLocationZ,maxFaceAxisDirectX,maxFaceAxisDirectY,maxFaceAxisDirectZ,maxFacePerimeter,maxFaceMaxEdgeCentreX,maxFaceMaxEdgeCentreY,maxFaceMaxEdgeCentreZ,maxFaceMinEdgeCentreX,maxFaceMinEdgeCentreY,maxFaceMinEdgeCentreZ,maxFaceEdgeLengthAverage,maxFaceEdgeLengthVariance,minFaceMass,minFaceCentreOfMassX,minFaceCentreOfMassY,minFaceCentreOfMassZ,minFaceAxisLocationX,minFaceAxisLocationY,minFaceAxisLocationZ,minFaceAxisDirectX,minFaceAxisDirectY,minFaceAxisDirectZ,minFacePerimeter,minFaceMaxEdgeCentreX,minFaceMaxEdgeCentreY,minFaceMaxEdgeCentreZ,minFaceMinEdgeCentreX,minFaceMinEdgeCentreY,minFaceMinEdgeCentreZ,minFaceEdgeLengthAverage,minFaceEdgeLengthVariance,faceMassAverage,faceMassVariance,edgeCount,edgeLenSum,assembly_no
1,MXP,5b556bc7-0001-89ae-3135-333233323732,8268171.188,433128,-20209.36647,2172.516021,1450648.111,689014.2657,433134,-20209.36647,2172.516021,433134,-20314.84174,2250.445398,1,-3.49E-13,5.78E-13,6051.631617,433134,-19984.48882,1911.660026,433134,-20356.98031,2085.276594,31.35560423,8604.638099,58.54507903,433128,-20356.98031,2085.276594,433128,-20356.98031,2085.276594,0,-0.710952495,-0.703240037,33.75751317,433122,-20356.98031,2085.276594,433122,-20356.98031,2085.276594,8.439378293,12.67802694,7439.221081,4815159431,579,14419.26323,C3-JD-24
2,MXP,5b556bc7-0001-89c2-3135-333233323732,8268171.188,433654,-20209.36647,2172.516021,1450648.111,689014.2657,433660,-20209.36647,2172.516021,433660,-20314.84174,2250.445398,1,-3.49E-13,5.78E-13,6051.631617,433660,-19984.48882,1911.660026,433660,-20356.98031,2085.276594,31.35560423,8604.638099,58.54507903,433654,-20356.98031,2085.276594,433654,-20356.98031,2085.276594,0,-0.710952495,-0.703240037,33.75751317,433648,-20356.98031,2085.276594,433648,-20356.98031,2085.276594,8.439378293,12.67802694,7439.221081,4815159431,579,14419.26323,C3-JD-24
3,MXP,5b566d06-0000-0677-3135-333233393431,10157932.33,432485.2775,-20839.39816,1953.125744,642480.7217,253948.3084,432470.5551,-20840.89109,1939.671271,432470.5557,-20729.94209,1927.77764,-0.736123083,-0.072139806,-0.672992315,3364.574796,432470.5563,-20622.2354,1916.231667,432710.6568,-20719.40645,1664.024297,70.09530826,23862.12576,895.7157241,432725.3792,-20717.96366,1677.484143,432725.3792,-20717.96366,1677.484143,0.478599714,-0.758562122,-0.442183017,124.7857862,432740.1017,-20716.52086,1690.943989,432740.1017,-20716.52086,1690.943989,31.19644655,77.50255334,12849.61443,2458676330,144,8649.224056,C3-JD-24
4,MXP,5b566d06-0000-067b-3135-333233393431,1786604.134,432919.3188,-21015.83157,2034.478524,186456.6475,74441.8389,432919.2167,-21027.7724,2035.664251,432763.7192,-21037.80868,1921.210546,-0.008504569,-0.995069917,0.098810585,1565.540405,432901.0358,-21021.87674,2093.471555,432664.7667,-21043.79345,1852.424323,104.3693603,44091.01234,131.8112806,432664.8688,-21031.85261,1851.238596,432664.8688,-21031.85261,1851.238596,-0.981258168,-0.01071876,-0.192399367,58.9842734,432664.7667,-21043.79345,1852.424323,432664.7667,-21043.79345,1852.424323,14.74606835,85.63525098,10968.03809,559598393.9,45,3491.08081,C3-JD-24
5,MXP,5b566d06-0000-067e-3135-333233393431,1786604.134,432919.3206,-20667.80221,1997.170293,186456.6475,74441.8389,432919.4227,-20655.86137,1995.984566,432763.9252,-20665.89764,1881.530861,0.008504569,0.995069917,-0.098810585,1565.540405,432901.2417,-20649.96571,2053.79187,432663.5004,-20671.34885,1817.991113,104.3693603,44091.01234,131.81128,432658.0894,-20682.3022,1828.664393,432658.0894,-20682.3022,1828.664393,-0.786909742,-0.054311664,-0.614673329,58.9842734,432657.9874,-20694.24304,1829.85012,432657.9874,-20694.24304,1829.85012,14.74606835,85.635251,10968.03809,559598393.8,45,3491.08081,C3-JD-24
6,MXP,5b566d06-0000-0681-3135-333233393431,1786604.134,432919.3198,-20841.81685,2015.824536,186456.6475,74441.83893,432919.2177,-20853.75769,2017.010263,432763.7202,-20863.79397,1902.556558,-0.008504569,-0.995069917,0.098810585,1565.540405,432901.0368,-20847.86203,2074.817567,432656.0885,-20872.71607,1803.442923,104.3693603,44091.01233,131.8112794,432656.1906,-20860.77523,1802.257196,432656.1906,-20860.77523,1802.257196,-0.7325129,0.073464675,0.676777506,58.98427335,432656.0885,-20872.71607,1803.442923,432656.0885,-20872.71607,1803.442923,14.74606834,85.63525121,10968.03809,559598394.1,45,3491.08081,C3-JD-24
7,MXP,5b566d06-0000-0684-3135-333233393431,4218235.103,432720.1937,-20652.48222,2134.311093,404893.6874,175759.7959,432720.0916,-20664.42306,2135.49682,432669.9387,-20667.4574,2100.623012,-0.008504569,-0.995069917,0.098810585,2223.920646,432880.7322,-20671.49342,2078.1212,432619.7839,-20690.5491,1863.761681,58.52422752,17898.02933,131.8112795,432634.0781,-20679.51862,1854.629733,432634.0781,-20679.51862,1854.629733,-0.680700026,-0.066624327,-0.729526336,58.98427336,432634.1802,-20667.57778,1853.444006,432634.1802,-20667.57778,1853.444006,14.74606834,85.63525116,10381.88942,1488797563,113,5335.841292,C3-JD-24
8,MXP,5b566d06-0000-0687-3135-333233393431,17227228.82,433100.4282,-20805.01573,2275.104173,1252590.21,574240.9603,433110.5809,-20806.19272,2264.125236,432779.335,-20700.05502,1946.428838,0.676847779,-0.078465507,-0.731929128,3470.27632,433136.1036,-20584.958,2264.010011,432636.6287,-20667.64083,1810.987039,247.87688,198178.6252,164.7640518,432626.476,-20666.46385,1821.965976,432626.476,-20666.46385,1821.965976,-0.171839174,0.949989905,-0.26074984,70.98427017,432636.6287,-20667.64083,1810.987039,432636.6287,-20667.64083,1810.987039,17.74606754,150.1588602,78286.88814,35294700197,42,7360.552639,C3-JD-24
9,MXP,5b566d06-0000-068a-3135-333233393431,12009529.97,432715.8449,-20789.16168,2404.149008,881402.0852,400317.6657,432725.9976,-20790.33866,2393.170071,432497.7074,-20675.79012,2169.779784,0.676847779,-0.078465507,-0.731929128,2692.225127,432752.6409,-20570.98972,2394.29325,432399.504,-20637.64916,2074.877906,192.3017948,102636.7216,164.7640313,432389.3513,-20636.47217,2085.856843,432389.3513,-20636.47217,2085.856843,-0.281696952,0.891009793,-0.356017381,70.9842688,432399.504,-20637.64916,2074.877906,432399.504,-20637.64916,2074.877906,17.7460672,150.1588686,55087.63032,17107080319,42,5804.450254,C3-JD-24
10,MXP,5b566d06-0000-068d-3135-333233393431,12609003.59,432447.2356,-20852.91318,1920.026177,586970.3523,201894.7766,432470.555,-20847.34464,1940.363123,432470.555,-20846.94794,1940.320535,0.736123083,0.072139806,0.672992315,2901.07425,432470.5539,-21056.74593,1962.810586,432464.6766,-20976.45478,1960.632538,90.6585703,26949.5474,537.2470072,432576.1903,-20859.63129,1739.962874,432564.6833,-20858.35332,1752.641285,-0.341733508,-0.914159538,-0.21801502,349.7522469,432518.9117,-20853.38297,1803.545883,432518.9117,-20853.38297,1803.545883,69.95044938,6908.591206,7723.294109,578811163.8,161,17857.46092,C3-JD-24
