guid,part_pos,part_name,new-class,weight,area_gross,area,area_net,a_net_xy,a_net_xz,a_net_yz,cog_x,cog_y,cog_z,box_minx,box_miny,box_minz,box_maxx,box_maxy,box_maxz,area_plan,project_name,segment_no
622A8E7A-0000-13F6-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,0,112,1017846,-240.61,2,1017850,240.61,252,0,longmen,61
622A8E7A-0000-144A-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,1000,112,1017846,759.39,2,1017850,1240.61,252,0,longmen,61
622A8E7A-0000-144E-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,2000,112,1017846,1759.39,2,1017850,2240.61,252,0,longmen,61
622A8E7A-0000-145A-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,5000,112,1017846,4759.39,2,1017850,5240.61,252,0,longmen,61
622A8E7A-0000-145E-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1319,88844,1017848,12108,537,1017846,11907.6,364.59,1017850,12370,698.17,0,longmen,61
622A8E7A-0000-146A-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1319,88844,1017848,14703,1285,1017846,14501.97,1112.44,1017850,14964.37,1446.02,0,longmen,61
622A8E7A-0000-146E-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,-1000,112,1017846,-1240.61,2,1017850,-759.39,252,0,longmen,61
622A8E7A-0000-147A-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,-4000,112,1017846,-4240.61,2,1017850,-3759.39,252,0,longmen,61
622A8E7A-0000-147E-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,-5000,112,1017846,-5240.61,2,1017850,-4759.39,252,0,longmen,61
622A8E7A-0000-148A-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1325,88844,1017848,-13838,1036,1017846,-14099.5,863.16,1017850,-13637.1,1196.74,0,longmen,61
622A8E7A-0000-148E-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1325,88844,1017848,-14703,1285,1017846,-14964.3,1112.44,1017850,-14501.9,1446.02,0,longmen,61
622A8E7A-0000-1452-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,3000,112,1017846,2759.39,2,1017850,3240.61,252,0,longmen,61
622A8E7A-0000-1456-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,4000,112,1017846,3759.39,2,1017850,4240.61,252,0,longmen,61
622A8E7A-0000-1462-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1319,88844,1017848,12973,786,1017846,12772.39,613.88,1017850,13234.79,947.46,0,longmen,61
622A8E7A-0000-1466-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1319,88844,1017848,13838,1036,1017846,13637.18,863.16,1017850,14099.58,1196.74,0,longmen,61
622A8E7A-0000-1472-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,-2000,112,1017846,-2240.61,2,1017850,-1759.39,252,0,longmen,61
622A8E7A-0000-1476-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1925,982,88844,1017848,-3000,112,1017846,-3240.61,2,1017850,-2759.39,252,0,longmen,61
622A8E7A-0000-1482-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1325,88844,1017848,-12108,537,1017846,-12370,364.59,1017850,-11907.6,698.17,0,longmen,61
622A8E7A-0000-1486-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1325,88844,1017848,-12973,786,1017846,-13234.7,613.88,1017850,-12772.3,947.46,0,longmen,61
622A8E7A-0000-1492-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1325,88844,1017848,-11244,288,1017846,-11505.2,115.31,1017850,-11042.8,448.89,0,longmen,61
622A8E7A-0000-1496-3136-343639363932,dbp-44,dbp,DB_ULF,2.79,0.12,0.18,0.18,1843,1319,88844,1017848,11244,288,1017846,11042.81,115.31,1017850,11505.22,448.89,0,longmen,61
622A9B1D-0000-281F-3136-343639363630,glp-1,glp,,22.97,0.18,0.33,0.33,14800,4800,146318,1017770,-8500,130,1017760,-8870,0,1017780,-8130,240,0.01,longmen,61
622A9B1D-0000-282B-3136-343639363630,glp-1,glp,,22.97,0.18,0.33,0.33,14800,4800,146318,1017770,3500,130,1017760,3130,0,1017780,3870,240,0.01,longmen,61
622A9B1D-0000-282F-3136-343639363630,glp-1,glp,,22.97,0.18,0.33,0.33,14800,4800,146318,1017770,8500,130,1017760,8130,0,1017780,8870,240,0.01,longmen,61
622A9B1D-0000-284C-3136-343639363630,glp-1,glp,,22.97,0.18,0.33,0.33,14800,4800,146318,1018090,-8500,130,1018080,-8870,0,1018100,-8130,240,0.01,longmen,61
622A9B1D-0000-284F-3136-343639363630,glp-2,glp,,5.5,0.07,0.15,0.15,3000,70084,2396,1017930,-8400,123,1017780,-8405,0,1018080,-8395,240,0,longmen,61
622A9B1D-0000-285B-3136-343639363630,glp-2,glp,,5.5,0.07,0.15,0.15,3000,70084,2396,1017930,3400,123,1017780,3395,0,1018080,3405,240,0,longmen,61
622A9B1D-0000-285E-3136-343639363630,glp-2,glp,,5.5,0.07,0.15,0.15,3000,70084,2396,1017930,3600,123,1017780,3595,0,1018080,3605,240,0,longmen,61
622A9B1D-0000-2813-3136-343639363630,glp-1,glp,,22.97,0.18,0.33,0.33,14800,4800,146318,1017770,-3500,130,1017760,-3870,0,1017780,-3130,240,0.01,longmen,61
622A9B1D-0000-2843-3136-343639363630,glp-1,glp,,22.97,0.18,0.33,0.33,14800,4800,146318,1018090,-3500,130,1018080,-3870,0,1018100,-3130,240,0.01,longmen,61
622A9B1D-0000-2846-3136-343639363630,glp-2,glp,,5.5,0.07,0.15,0.15,3000,70084,2396,1017930,-3400,123,1017780,-3405,0,1018080,-3395,240,0,longmen,61
622A9B1D-0000-2849-3136-343639363630,glp-2,glp,,5.5,0.07,0.15,0.15,3000,70084,2396,1017930,-3600,123,1017780,-3605,0,1018080,-3595,240,0,longmen,61
622A9B1D-0000-2852-3136-343639363630,glp-2,glp,,5.5,0.07,0.15,0.15,3000,70084,2396,1017930,-8600,123,1017780,-8605,0,1018080,-8595,240,0,longmen,61
622A9B1D-0000-2855-3136-343639363630,glp-1,glp,,22.97,0.18,0.33,0.33,14800,4800,146318,1018090,3500,130,1018080,3130,0,1018100,3870,240,0.01,longmen,61
622A9B1D-0000-2858-3136-343639363630,glp-1,glp,,22.97,0.18,0.33,0.33,14800,4800,146318,1018090,8500,130,1018080,8130,0,1018100,8870,240,0.01,longmen,61
622A9B1D-0000-2861-3136-343639363630,glp-2,glp,,5.5,0.07,0.15,0.15,3000,70084,2396,1017930,8400,123,1017780,8395,0,1018080,8405,240,0,longmen,61
622A9B1D-0000-2864-3136-343639363630,glp-2,glp,,5.5,0.07,0.15,0.15,3000,70084,2396,1017930,8600,123,1017780,8595,0,1018080,8605,240,0,longmen,61
