guid,part_pos,class,weight,area_gross,area,area_net,a_net_xy,a_net_xz,a_net_yz,cog_x,cog_y,cog_z,box_minx,box_miny,box_minz,box_maxx,box_maxy,box_maxz,area_plan,assembly_no
5B8C7AB1-0000-2A0B-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455497,4566773,5996,435500,-7194,2934,428005,-7348.45,2810.33,442995,-7049.16,3115.06,0,C3-JD-24
5B8C7AB1-0000-2A1E-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566788,5996,435500,-7794,2920,428005,-7948.26,2795.34,442995,-7648.97,3100.06,0,C3-JD-24
5B8C7AB1-0000-2A6A-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455497,4566788,5996,435500,-10193,2860,428005,-10347.5,2735.36,442995,-10048.2,3040.08,0,C3-JD-24
5B8C7AB1-0000-2A7D-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566773,5996,435500,-10793,2845,428005,-10947.3,2720.36,442995,-10648,3025.08,0,C3-JD-24
5B8C7AB1-0000-2A31-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566788,5996,435500,-8394,2905,428005,-8548.08,2780.34,442995,-8248.78,3085.06,0,C3-JD-24
5B8C7AB1-0000-2A44-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566773,5996,435500,-8994,2890,428005,-9147.89,2765.35,442995,-8848.6,3070.07,0,C3-JD-24
5B8C7AB1-0000-2A57-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566773,5996,435500,-9594,2875,428005,-9747.7,2750.35,442995,-9448.41,3055.07,0,C3-JD-24
5B8C7AB1-0000-2A90-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566773,5996,435500,-11393,2830,428005,-11547.1,2705.37,442995,-11247.8,3010.09,0,C3-JD-24
5B8C7AB1-0000-2AA3-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566788,5996,435500,-11993,2815,428005,-12146.9,2690.37,442995,-11847.6,2995.09,0,C3-JD-24
5B8C7AB1-0000-2AB6-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566773,5996,435500,-12593,2800,428005,-12746.7,2675.38,442995,-12447.4,2980.1,0,C3-JD-24
5B8C7AB1-0000-2AC9-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566773,5996,435500,-13193,2785,428005,-13346.5,2660.38,442995,-13047.2,2965.1,0,C3-JD-24
5B8C7AB1-0000-2ADC-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566788,5996,435500,-13792,2770,428005,-13946.3,2645.39,442995,-13647.1,2950.11,0,C3-JD-24
5B8C7AB1-0000-2AEF-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566788,5996,435500,-14392,2755,428005,-14546.2,2630.39,442995,-14246.9,2935.11,0,C3-JD-24
5B8C7AB1-0000-2B02-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566773,5996,435500,-14992,2740,428005,-15146,2615.4,442995,-14846.7,2920.12,0,C3-JD-24
5B8C7AB1-0000-2B3B-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566773,5996,435500,-16791,2695,428005,-16945.4,2570.41,442995,-16646.1,2875.13,0,C3-JD-24
5B8C7AB1-0000-2B4E-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455497,4566788,5996,435500,-17391,2680,428005,-17545.2,2555.41,442995,-17245.9,2860.13,0,C3-JD-24
5B8C7AB1-0000-2B9A-3135-333539333737,TBP-391,TBP,867.85,22.49,22.43,22.43,4429227,4505793,7377,435500,-20090,2611,428005,-20243.4,2487.94,442995,-19945.9,2788.59,0,C3-JD-24
5B8C7AB1-0000-2B15-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566788,5996,435500,-15592,2725,428005,-15745.8,2600.4,442995,-15446.5,2905.12,0,C3-JD-24
5B8C7AB1-0000-2B28-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566788,5996,435500,-16192,2710,428005,-16345.6,2585.41,442995,-16046.3,2890.13,0,C3-JD-24
5B8C7AB1-0000-2B61-3135-333539333737,TBP-391,TBP,867.85,22.49,22.43,22.43,4429227,4505778,7377,435500,-17991,2663,428005,-18144,2540.42,442995,-17846.5,2841.07,0,C3-JD-24
5B8C7AB1-0000-2B74-3135-333539333737,TBP-391,TBP,867.85,22.49,22.43,22.43,4429227,4505793,7377,435500,-18591,2648,428005,-18743.9,2525.43,442995,-18446.3,2826.08,0,C3-JD-24
5B8C7AB1-0000-2B87-3135-333539333737,TBP-391,TBP,867.85,22.49,22.43,22.43,4429227,4505793,7377,435500,-19541,2625,428005,-19693.6,2501.69,442995,-19396,2802.34,0,C3-JD-24
5B8C7AB1-0000-2BAD-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566788,5996,435500,-4195,3009,428005,-4349.39,2885.31,442995,-4050.1,3190.03,0,C3-JD-24
5B8C7AB1-0000-2BC0-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566783,5996,435500,-2205,2994,428005,-2350.09,2870.32,442995,-2050.8,3175.04,0,C3-JD-24
5B8C7AB1-0000-2BD3-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566775,5996,435500,-1605,2979,428005,-1750.28,2855.32,442995,-1450.99,3160.04,0,C3-JD-24
5B8C7AB1-0000-2BE6-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566783,5996,435500,-1005,2964,428005,-1150.47,2840.33,442995,-851.17,3145.05,0,C3-JD-24
5B8C7AB1-0000-2BF9-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566783,5996,435500,-405,2949,428005,-550.65,2825.33,442995,-251.36,3130.05,0,C3-JD-24
5B8C7AB1-0000-2C0C-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455497,4566775,5996,435500,194,2934,428005,49.16,2810.33,442995,348.45,3115.06,0,C3-JD-24
5B8C7AB1-0000-2C1F-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566783,5996,435500,794,2920,428005,648.97,2795.34,442995,948.26,3100.06,0,C3-JD-24
5B8C7AB1-0000-2C6B-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455497,4566783,5996,435500,3193,2860,428005,3048.22,2735.36,442995,3347.51,3040.08,0,C3-JD-24
5B8C7AB1-0000-2C7E-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566775,5996,435500,3793,2845,428005,3648.03,2720.36,442995,3947.33,3025.08,0,C3-JD-24
5B8C7AB1-0000-2C32-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566783,5996,435500,1394,2905,428005,1248.78,2780.34,442995,1548.08,3085.06,0,C3-JD-24
5B8C7AB1-0000-2C45-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566775,5996,435500,1994,2890,428005,1848.6,2765.35,442995,2147.89,3070.07,0,C3-JD-24
5B8C7AB1-0000-2C58-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566768,5996,435500,2594,2875,428005,2448.41,2750.35,442995,2747.7,3055.07,0,C3-JD-24
5B8C7AB1-0000-2C91-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566768,5996,435500,4393,2830,428005,4247.85,2705.37,442995,4547.14,3010.09,0,C3-JD-24
5B8C7AB1-0000-2CA4-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566783,5996,435500,4993,2815,428005,4847.66,2690.37,442995,5146.95,2995.09,0,C3-JD-24
5B8C7AB1-0000-2CB7-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566775,5996,435500,5593,2800,428005,5447.47,2675.38,442995,5746.76,2980.1,0,C3-JD-24
5B8C7AB1-0000-2CCA-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566775,5996,435500,6193,2785,428005,6047.28,2660.38,442995,6346.58,2965.1,0,C3-JD-24
5B8C7AB1-0000-2CDD-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566783,5996,435500,6792,2770,428005,6647.1,2645.39,442995,6946.39,2950.11,0,C3-JD-24
5B8C7AB1-0000-2CF0-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566783,5996,435500,7392,2755,428005,7246.91,2630.39,442995,7546.2,2935.11,0,C3-JD-24
5B8C7AB1-0000-2D03-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566775,5996,435500,7992,2740,428005,7846.72,2615.4,442995,8146.01,2920.12,0,C3-JD-24
5B8C7AB1-0000-2D3C-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566775,5996,435500,9791,2695,428005,9646.16,2570.41,442995,9945.45,2875.13,0,C3-JD-24
5B8C7AB1-0000-2D4F-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455497,4566783,5996,435500,10391,2680,428005,10245.97,2555.41,442995,10545.26,2860.13,0,C3-JD-24
5B8C7AB1-0000-2D9B-3135-333539333737,TBP-581,TBP,867.85,22.49,22.43,22.43,4429227,4505791,7377,435500,12541,2625,428005,12396.07,2501.69,442995,12693.61,2802.34,0,C3-JD-24
5B8C7AB1-0000-2D16-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455483,4566783,5996,435500,8592,2725,428005,8446.53,2600.4,442995,8745.83,2905.12,0,C3-JD-24
5B8C7AB1-0000-2D29-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566783,5996,435500,9192,2710,428005,9046.35,2585.41,442995,9345.64,2890.13,0,C3-JD-24
5B8C7AB1-0000-2D62-3135-333539333737,TBP-428,TBP,705.32,22.78,22.72,22.72,4455498,4566783,5996,435500,-2805,3009,428005,-2949.9,2885.31,442995,-2650.61,3190.03,0,C3-JD-24
5B8C7AB1-0000-2D75-3135-333539333737,TBP-581,TBP,867.85,22.49,22.43,22.43,4429227,4505776,7377,435500,10991,2663,428005,10846.55,2540.42,442995,11144.09,2841.07,0,C3-JD-24
5B8C7AB1-0000-2D88-3135-333539333737,TBP-581,TBP,867.85,22.49,22.43,22.43,4429227,4505791,7377,435500,11591,2648,428005,11446.36,2525.43,442995,11743.9,2826.08,0,C3-JD-24
5B8C7AB1-0000-2DAE-3135-333539333737,TBP-581,TBP,867.85,22.49,22.43,22.43,4429227,4505791,7377,435500,13090,2611,428005,12945.9,2487.94,442995,13243.44,2788.59,0,C3-JD-24
5B8C7AB1-0000-2DC1-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1172,65348,442600,-15593,2769,442598,-15738,2608.4,442602,-15454.4,2905.12,0,C3-JD-24
5B8C7AB1-0000-2DC4-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1172,65348,428405,-15593,2769,428403,-15738,2608.4,428407,-15454.4,2905.12,0,C3-JD-24
5B8C7AB1-0000-2DC7-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1172,65348,442600,-13793,2814,442598,-13938.5,2653.39,442602,-13654.9,2950.11,0,C3-JD-24
5B8C7AB1-0000-2DCA-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1172,65348,428405,-13793,2814,428403,-13938.5,2653.39,428407,-13654.9,2950.11,0,C3-JD-24
5B8C7AB1-0000-2DCD-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1172,65348,442600,-14393,2799,442598,-14538.3,2638.39,442602,-14254.8,2935.11,0,C3-JD-24
5B8C7AB1-0000-2DD0-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1172,65348,428405,-14393,2799,428403,-14538.3,2638.39,428407,-14254.8,2935.11,0,C3-JD-24
5B8C7AB1-0000-2DD3-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1172,65348,442600,-14993,2784,442598,-15138.2,2623.39,442602,-14854.6,2920.11,0,C3-JD-24
5B8C7AB1-0000-2DD6-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1172,65348,428405,-14993,2784,428403,-15138.2,2623.39,428407,-14854.6,2920.11,0,C3-JD-24
5B8C7AB1-0000-2DD9-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1149,62758,442600,-19542,2669,442598,-19683.8,2511.68,442602,-19405.9,2802.33,0,C3-JD-24
5B8C7AB1-0000-2DDC-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1149,62758,428405,-19542,2669,428403,-19683.8,2511.68,428407,-19405.9,2802.33,0,C3-JD-24
5B8C7AB1-0000-2DDF-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1149,62758,442600,-20091,2655,442598,-20233.6,2497.94,442602,-19955.7,2788.59,0,C3-JD-24
